sample_id,fastq_dir
NoOSA_011,fastq/NoOSA_011
NoOSA_010,fastq/NoOSA_010
NoOSA_009,fastq/NoOSA_009
NoOSA_008,fastq/NoOSA_008
NoOSA_007,fastq/NoOSA_007
NoOSA_006,fastq/NoOSA_006
NoOSA_005,fastq/NoOSA_005
NoOSA_004,fastq/NoOSA_004
NoOSA_003,fastq/NoOSA_003
NoOSA_002,fastq/NoOSA_002
NoOSA_001,fastq/NoOSA_001
OSA_011,fastq/OSA_011
OSA_010,fastq/OSA_010
OSA_009,fastq/OSA_009
OSA_007,fastq/OSA_007
OSA_008,fastq/OSA_008
OSA_006,fastq/OSA_006
OSA_005,fastq/OSA_005
OSA_003,fastq/OSA_003
OSA_004,fastq/OSA_004
OSA_002,fastq/OSA_002
OSA_001,fastq/OSA_001
